Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.299473805099809,-1.03021940252174,0.0436095448483486,0,0,0,0.000264890102797812,4.93000608072384E-07,3.95136244539639E-11,1.23734479882047E-10,5.10138574825556E-07,2.01408264267698E-09,7.10918004022129E-07,0,0,0,0,0,0,package://Assem.SLDASM/meshes/base_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/base_link.STL,,Amazing Hand base - Amazing Hand  Base-1;AmazingHand_Right - R-Wrist_Interface-1;AmazingHand_Right - R-Hand_Plate-1;AmazingHand_Finger - Finger_Frame-2_1-1;AmazingHand_Finger - Bushing 0608-04_2-1;AmazingHand_Finger - Finger_Frame-1_1-1;AmazingHand_Finger - Bushing 0608-04_3-1;AmazingHand_Finger - SCS0009_2-1;AmazingHand_Finger - SCS0009_2-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rev1,1.02140518265514E-14,8.21565038222616E-15,-0.0117132506908853,0,0,0,9.01567166676995E-07,2.98956667235181E-11,8.12018327301445E-23,8.39078673250069E-26,3.18763921783722E-11,-2.86739942424911E-25,1.16989572197793E-11,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev1.STL,,AmazingHand_Finger - Gimbal_1-1,Origin_rev12,Axis_rev12,rev1,revolute,-0.32335,-1.0003,0.091521,-3.1416,0,0.36089,base_link,0,0,0,0,0,0,0,,,,,,,,
rev4,-4.99999991666611E-05,0.0202717386552188,0.00367131095180093,0,0,0,1.55937019543822E-06,4.48994582996001E-10,-1.69039002988221E-20,-4.72429020340603E-21,4.75328685968633E-11,-1.11078422005558E-10,4.08958550699171E-10,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev4.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev4.STL,,AmazingHand_Finger - Link_1-1,Origin_rev42,Axis_rev42,rev4,revolute,0,0,-0.0195,-0.12489,0,-3.1416,rev1,0,0,0,0,0,0,0,,,,,,,,
rev6,-0.0275327537691696,0.103951988625078,-0.0178012843256605,0,0,0,3.56649884104221E-06,5.18576476071431E-10,-1.74279394117136E-20,3.12946336418392E-21,7.03687110424854E-11,7.95960288090244E-11,5.07648744356319E-10,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev6.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev6.STL,,AmazingHand_Finger - Distal_1-1,Origin_rev62,,rev6,revolute,0.027533,-0.032846,0.032692,-0.13362,0,0,rev4,0,0,0,0,0,0,0,,,,,,,,
rev5,-4.99970333943667E-05,0.027095747792951,0.00319459785626131,0,0,0,6.95880846761462E-06,1.44377728195501E-09,1.69680667087282E-16,5.03906068374767E-17,3.3029822726442E-10,3.12201862426203E-11,1.53487846175049E-09,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev5.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev5.STL,,AmazingHand_Finger - Proximal_1-1,Origin_rev52,Axis_rev52,rev5,revolute,0,0,-0.0135,-0.12906,0,3.1416,rev1,0,0,0,0,0,0,0,,,,,,,,
rev2,0.00215952472968417,0.00151211549413738,-0.00416811876256325,0,0,0,1.48459705980827E-07,6.64492349805132E-13,-1.72913669703106E-13,6.52669975612066E-14,7.90363207673246E-13,4.57004436726837E-14,1.03644045593312E-12,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev2.STL,1,1,1,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev2.STL,,AmazingHand_Finger - Custom Servo Horn_2-1;AmazingHand_Finger - Rotule_Ball_5-1,Origin_rev22,Axis_rev22,rev2,revolute,-0.30659,-1.0286,0.10917,-3.1416,0,1.5539,base_link,0,0,0,0,0,0,0,,,,,,,,
ball1,0.00287012797629305,0.0198118955548476,0.00023317575277651,0,0,0,4.11495169264791E-07,1.11963176460428E-11,-6.23376208857966E-13,1.63127880509559E-15,1.44015139319813E-12,2.4934692075138E-14,1.12359214876911E-11,0,0,0,0,0,0,package://Assem.SLDASM/meshes/ball1.STL,0.192156862745098,0.192156862745098,0.192156862745098,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/ball1.STL,,AmazingHand_Finger - Rotule_Lever_4-1;AmazingHand_Finger - Spacer_2-1;AmazingHand_Finger - Rotule_Lever_4-3,Origin_ball12,Axis_ball12,ball1,revolute,4.9577E-05,0.0029362,-0.0069,-3.1092,-0.20942,1.071,rev2,0,0,0,0,0,0,0,,,,,,,,
ball3,-0.0173869935500136,0.00567692239340628,-0.0265999999999947,0,0,0,5.47122318133314E-08,1.6232606031193E-13,6.31088724176809E-30,1.35999620060102E-26,1.6232606031193E-13,1.26154635962944E-26,1.62708880327974E-13,0,0,0,0,0,0,package://Assem.SLDASM/meshes/ball3.STL,0.956862745098039,0.835294117647059,0.470588235294118,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/ball3.STL,,AmazingHand_Finger - Rotule_Ball_7-1,Origin_ball32,,ball3,revolute,0.034109,0.04124,-0.0099321,1.283,0.73685,1.2566,ball1,0,0,0,0,0,0,0,,,,,,,,
rod,-0.0275327537729319,0.0386101998079315,-0.0266838319230719,0,0,0,7.85398163397449E-08,3.92699081698728E-14,7.72068490184749E-23,1.64994603372841E-22,4.11025038844665E-12,-2.01948391736579E-28,4.11025038844665E-12,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rod.STL,0.811764705882353,0.858823529411765,0.898039215686275,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rod.STL,,AmazingHand_Finger - M2-Rod_L25_1-1,Origin_rod12,,rod,fixed,0.0084803,-0.033485,-0.0070672,1.9531,-1.5708,0,ball3,0,0,0,,,,,,,,,,,,
rev3,-0.00215952472948366,0.00151211549443775,-0.00416811876256649,0,0,0,1.48459705980828E-07,6.64492349852074E-13,1.72913669720197E-13,-6.52669975550009E-14,7.90363207626325E-13,4.57004436815349E-14,1.03644045593314E-12,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev3.STL,1,1,1,1,0,0,0,0,0,0,package://Assem.SLDASM/meshes/rev3.STL,,AmazingHand_Finger - Custom Servo Horn_3-1;AmazingHand_Finger - Rotule_Ball_4-1,Origin_rev32,Axis_rev32,rev3,revolute,-0.31796,-1.0328,0.10917,-3.1416,0,-0.81292,base_link,0,0,0,0,0,0,0,,,,,,,,
